A01,dbgi_002343_01
B01,dbgi_001042_01
C01,dbgi_001885_01
D01,dbgi_002254_01
E01,dbgi_001222_01
F01,dbgi_001050_01
G01,dbgi_001237_01
H01,dbgi_001225_01
A02,dbgi_001824_01
B02,blk_000029
C02,dbgi_001240_01
D02,dbgi_001129_01
E02,dbgi_001046_01
F02,dbgi_001752_01
G02,dbgi_001236_01
H02,dbgi_001750_01
A03,dbgi_002331_01
B03,dbgi_002299_01
C03,dbgi_001227_01
D03,dbgi_001238_01
E03,dbgi_002252_01
F03,dbgi_001209_01
G03,dbgi_001228_01
H03,dbgi_001181_01
A04,dbgi_001753_01
B04,dbgi_001921_01
C04,dbgi_001230_01
D04,dbgi_001247_01
E04,dbgi_001754_01
F04,dbgi_001239_01
G04,dbgi_000430_01
H04,dbgi_000470_01
A05,
B05,
C05,
D05,
E05,
F05,
G05,
H05,
A06,
B06,
C06,
D06,
E06,
F06,
G06,
H06,
A07,
B07,
C07,
D07,
E07,
F07,
G07,
H07,
A08,
B08,
C08,
D08,
E08,
F08,
G08,
H08,
A09,
B09,
C09,
D09,
E09,
F09,
G09,
H09,
A10,
B10,
C10,
D10,
E10,
F10,
G10,
H10,
A11,
B11,
C11,
D11,
E11,
F11,
G11,
H11,
A12,
B12,
C12,
D12,
E12,
F12,
G12,
H12,
