A01,dbgi_002935_01
B01,dbgi_002647_01
C01,dbgi_002688_01
D01,dbgi_001920_01
E01,dbgi_003066_01
F01,dbgi_002393_01
G01,dbgi_002580_01
H01,dbgi_001771_01
A02,dbgi_002742_01
B02,dbgi_001819_01
C02,dbgi_002581_01
D02,dbgi_002640_01
E02,dbgi_batch_blk_000001
F02,dbgi_003020_01
G02,dbgi_001843_01
H02,dbgi_002621_01
A03,dbgi_002686_01
B03,dbgi_002383_01
C03,dbgi_002633_01
D03,dbgi_001818_01
E03,dbgi_002981_01
F03,dbgi_002370_01
G03,dbgi_001852_01
H03,dbgi_002601_01
A04,dbgi_003015_01
B04,dbgi_002561_01
C04,dbgi_002721_01
D04,dbgi_003009_01
E04,dbgi_002745_01
F04,dbgi_002554_01
G04,dbgi_002965_01
H04,dbgi_batch_blk_000002
A05,dbgi_001165_01
B05,blk_000028
C05,dbgi_001113_01
D05,dbgi_001757_01
E05,dbgi_000975_01
F05,dbgi_002283_01
G05,dbgi_001830_01
H05,dbgi_001055_01
A06,dbgi_001120_01
B06,dbgi_002333_01
C06,dbgi_002295_01
D06,dbgi_002367_01
E06,dbgi_001814_01
F06,dbgi_002337_01
G06,dbgi_001909_01
H06,dbgi_002307_01
A07,dbgi_002289_01
B07,dbgi_001853_01
C07,dbgi_002372_01
D07,dbgi_002376_01
E07,dbgi_002334_01
F07,dbgi_001911_01
G07,dbgi_001811_01
H07,dbgi_001815_01
A08,dbgi_002346_01
B08,dbgi_003203_01
C08,dbgi_003219_01
D08,dbgi_002301_01
E08,dbgi_002242_01
F08,dbgi_002530_01
G08,dbgi_003105_01
H08,dbgi_001899_01
A09,dbgi_001905_01
B09,dbgi_003099_01
C09,dbgi_003141_01
D09,dbgi_002638_01
E09,dbgi_003222_01
F09,dbgi_003088_01
G09,dbgi_002263_01
H09,dbgi_002381_01
A10,dbgi_003168_01
B10,dbgi_002362_01
C10,dbgi_002436_01
D10,dbgi_002311_01
E10,dbgi_002495_01
F10,dbgi_002377_01
G10,dbgi_002867_02
H10,dbgi_002976_01
A11,dbgi_003216_01
B11,dbgi_002494_01
C11,dbgi_002260_01
D11,dbgi_002259_01
E11,dbgi_002517_01
F11,dbgi_002518_01
G11,dbgi_002398_01
H11,dbgi_002273_01
A12,dbgi_002281_01
B12,dbgi_002485_01
C12,dbgi_002945_01
D12,dbgi_002248_01
E12,dbgi_002344_01
F12,dbgi_002402_01
G12,dbgi_002378_01
H12,dbgi_002327_01
